"id","name","category","url"
1,Official Excel Support Forum,User Forum,https://techcommunity.microsoft.com/t5/excel/bd-p/ExcelGeneral
2,"121 Homepage",first_party_documentation,https://510.global/product/121-platform/
3,RedRose Homepage,first_party_documentation,https://www.redrose.io/
4,EspoCRM Support Homepage,first_party_documentation,https://www.espocrm.com/support/
5,ODK Central Homepage,first_party_documentation,https://docs.getodk.org/central-intro/
6,RC2 Support Manual,first_party_documentation,https://www.ifrc.org/sites/default/files/Manual-RC2-Relief-Full-Version-FINAL-20191211-LR-1.pdf
7,Formstack Support Forums,support_forum,https://help.formstack.com/s/
